term,gene
COMPLETE-ARO-PWY,FEK30_RS02325
COMPLETE-ARO-PWY,FEK30_RS15175
PWY-6932,FEK30_RS10915
HOMOSERSYN-PWY,FEK30_RS10510
HOMOSERSYN-PWY,FEK30_RS10550
HOMOSERSYN-PWY,FEK30_RS14905
PWY-6759,FEK30_RS05080
PWY-6759,FEK30_RS13065
PWY-5941,FEK30_RS06480
PWY-5941,FEK30_RS05705
FAO-PWY,FEK30_RS07480
FAO-PWY,FEK30_RS15415
PWY0-662,FEK30_RS03285
PWY0-1586,FEK30_RS10210
PWY0-1586,FEK30_RS12325
PWY0-1586,FEK30_RS08175
PWY0-1586,FEK30_RS06725
PWY0-1586,FEK30_RS15770
PWY0-1586,FEK30_RS07060
TRNA-CHARGING-PWY,FEK30_RS07085
TRNA-CHARGING-PWY,FEK30_RS04005
TRNA-CHARGING-PWY,FEK30_RS11165
TRNA-CHARGING-PWY,FEK30_RS13115
TRNA-CHARGING-PWY,FEK30_RS12820
TRNA-CHARGING-PWY,FEK30_RS10200
TRNA-CHARGING-PWY,FEK30_RS12705
TRNA-CHARGING-PWY,FEK30_RS01930
TRNA-CHARGING-PWY,FEK30_RS06195
TRNA-CHARGING-PWY,FEK30_RS12330
TRNA-CHARGING-PWY,FEK30_RS04200
TRNA-CHARGING-PWY,FEK30_RS07230
TRNA-CHARGING-PWY,FEK30_RS01200
TRNA-CHARGING-PWY,FEK30_RS12620
TRNA-CHARGING-PWY,FEK30_RS06540
TRNA-CHARGING-PWY,FEK30_RS06315
TRNA-CHARGING-PWY,FEK30_RS04190
TRNA-CHARGING-PWY,FEK30_RS15655
TRNA-CHARGING-PWY,FEK30_RS06015
TRNA-CHARGING-PWY,FEK30_RS01845
TRNA-CHARGING-PWY,FEK30_RS03185
TRNA-CHARGING-PWY,FEK30_RS15740
TRNA-CHARGING-PWY,FEK30_RS07150
TRNA-CHARGING-PWY,FEK30_RS15355
TRNA-CHARGING-PWY,FEK30_RS13775
TRNA-CHARGING-PWY,FEK30_RS10885
TRNA-CHARGING-PWY,FEK30_RS03350
TRNA-CHARGING-PWY,FEK30_RS03600
TRNA-CHARGING-PWY,FEK30_RS10160
TRNA-CHARGING-PWY,FEK30_RS11175
TRNA-CHARGING-PWY,FEK30_RS08830
TRNA-CHARGING-PWY,FEK30_RS12650
TRNA-CHARGING-PWY,FEK30_RS05180
TRNA-CHARGING-PWY,FEK30_RS14690
TRNA-CHARGING-PWY,FEK30_RS03255
TRNA-CHARGING-PWY,FEK30_RS14210
TRNA-CHARGING-PWY,FEK30_RS03000
TRNA-CHARGING-PWY,FEK30_RS05275
TRNA-CHARGING-PWY,FEK30_RS05330
TRNA-CHARGING-PWY,FEK30_RS11180
TRNA-CHARGING-PWY,FEK30_RS03595
TRNA-CHARGING-PWY,FEK30_RS14820
TRNA-CHARGING-PWY,FEK30_RS04550
TRNA-CHARGING-PWY,FEK30_RS06275
TRNA-CHARGING-PWY,FEK30_RS09200
