"","U49","U50","U51","U52","U53","U54","U55","U56","U57","U58","U59","U60"
"FEK30_RS09760",1266.25339360245,1511.50858864142,1670.17484837145,5713.67433350847,5846.55719249294,5286.1407046124,2101.2489185261,2004.91460390471,1961.42462503454,6306.57781452533,6303.88062106995,6403.90842231147
"FEK30_RS09765",706.997099890979,884.75065377687,926.633292096973,588.447848426909,578.631609343797,616.73286174776,1056.94808025604,981.496831093353,1070.0162611415,708.835877066337,746.621577119601,708.461956483094
"FEK30_RS09770",16145.5740378729,17276.9362318706,17837.2610800596,12793.7818731019,13677.9000696391,13658.9060357,21207.618061616,20108.3821523443,20225.9171313333,15132.9323822015,15095.3912630106,15249.8884734218
"FEK30_RS09775",536.319364898214,455.953891041715,422.05653656736,406.624075036572,448.637658751492,398.656121833752,422.779232102415,463.864333357954,475.472164821262,501.100977970833,354.187964201503,447.277825060755
"FEK30_RS09780",1251.41185142917,1330.69928702143,1172.47477775535,2512.47395957557,2717.98327183545,2773.81771899672,1466.17669594491,1503.68595292853,1551.19735418532,2981.23366640876,2971.52061985017,2874.65784646711
"FEK30_RS09785",939.064850236873,896.899895387699,958.437959822008,3224.34158145531,2700.54505895112,2827.10343825173,1195.16436767413,1160.11649580486,1103.45426930217,3062.10755842304,3232.58874369823,3077.07554831943
"FEK30_RS09790",1543.52038602153,1297.82486854507,1214.59447285067,1066.69947055664,1078.79126070809,1120.97364951273,1533.92977801261,1391.59300007386,1365.249406365,1165.53550255874,1165.66085871011,1070.85493883159
"FEK30_RS09795",1716.89658322762,2189.00747376297,2538.35631870349,2125.68520527249,2186.91042490347,2044.59278326617,1724.54178222972,1665.90177088082,1732.25193495774,2305.69880370124,2321.34459166807,2102.53225794983
"FEK30_RS09800",1080.05950088307,1282.10232057811,1132.93383950261,195.047320545998,160.907146159987,172.685201289373,675.724071821808,652.508571088988,748.685158329191,185.53422285629,146.331177698274,164.872482960351
"FEK30_RS09810",3844.63403843386,4102.15569683298,4486.17732045835,1629.8021869352,1521.8803971782,1269.97630891099,4075.12204276494,3761.94885678121,3930.18930064093,1168.70702773577,1155.68373295796,1242.2570250775
"FEK30_RS09815",1358.67572440881,1370.72031821004,1359.00485603461,390.094641091996,400.286250299476,346.357175157542,1244.84996119044,1207.50538644261,1298.37339004365,241.035913454325,252.753852387927,264.448933065118
"FEK30_RS09820",72.1838642064263,54.3142566131196,40.4005238669367,20.937282996463,16.6455668441366,18.7486789971319,38.8451003854783,41.0096168980509,25.2823964141666,19.0291510621835,18.2913972122842,29.3832147850131
"FEK30_RS09825",290.084687932367,357.330635612629,422.91612218155,2101.44203548711,1830.21970681483,1848.22504008569,975.644381774803,770.980797683358,742.160668931987,1944.14493351975,1953.85379313036,1808.70011009969
"FEK30_RS09830",1002.47871224999,967.651361238999,916.318264726691,1168.07999875004,1266.64837223478,1154.52391719181,1056.04470582847,983.319480733266,946.050962594621,1217.86566797975,1321.96916216054,1245.52182672028
"FEK30_RS09835",1248.71338921584,1119.87421200998,1074.48201773768,396.706414669826,397.115666138688,434.179934670423,448.073716074354,569.57801247293,601.884146892095,350.45353206188,355.850818493529,365.657783991274
"FEK30_RS09840",87.7000219330413,99.3379167003109,97.9927600176762,439.682942925724,389.189205736718,468.716974928297,130.085917569974,157.659193852507,154.141062008951,383.754546420702,375.805069997839,437.483420132417
"FEK30_RS09845",0.674615553331087,2.85864508490103,3.43834245676057,9.91766036674565,13.4749826833487,23.682541891114,9.03374427569262,7.2905985596535,8.97117292115588,17.4433884736683,23.2799600883617,13.0592065711169
