transcript_id,gene_id
unassigned_transcript_586,FEK30_RS04075
unassigned_transcript_587,FEK30_RS04080
unassigned_transcript_588,FEK30_RS04085
unassigned_transcript_589,FEK30_RS04090
unassigned_transcript_590,FEK30_RS04095
unassigned_transcript_591,FEK30_RS04100
unassigned_transcript_592,FEK30_RS04105
unassigned_transcript_593,FEK30_RS04110
unassigned_transcript_594,FEK30_RS04115
unassigned_transcript_595,FEK30_RS04120
unassigned_transcript_596,FEK30_RS04125
unassigned_transcript_597,FEK30_RS04130
unassigned_transcript_598,FEK30_RS04135
unassigned_transcript_599,FEK30_RS04140
unassigned_transcript_600,FEK30_RS04145
unassigned_transcript_601,FEK30_RS04150
unassigned_transcript_602,FEK30_RS04155
unassigned_transcript_603,FEK30_RS04160
unassigned_transcript_604,FEK30_RS04165
unassigned_transcript_605,FEK30_RS04170
unassigned_transcript_606,FEK30_RS04175
unassigned_transcript_607,FEK30_RS04180
unassigned_transcript_608,FEK30_RS04185
unassigned_transcript_609,FEK30_RS04190
unassigned_transcript_610,FEK30_RS04195
unassigned_transcript_611,FEK30_RS04200
unassigned_transcript_612,FEK30_RS04205
unassigned_transcript_613,FEK30_RS04210
unassigned_transcript_614,FEK30_RS04215
unassigned_transcript_615,FEK30_RS04220
unassigned_transcript_616,FEK30_RS04225
unassigned_transcript_617,FEK30_RS04230
unassigned_transcript_618,FEK30_RS04235
unassigned_transcript_619,FEK30_RS04240
unassigned_transcript_620,FEK30_RS04245
unassigned_transcript_621,FEK30_RS04250
unassigned_transcript_622,FEK30_RS04255
unassigned_transcript_623,FEK30_RS04260
unassigned_transcript_624,FEK30_RS04265
unassigned_transcript_625,FEK30_RS04270
unassigned_transcript_626,FEK30_RS04275
unassigned_transcript_627,FEK30_RS04280
unassigned_transcript_628,FEK30_RS04285
unassigned_transcript_629,FEK30_RS04290
unassigned_transcript_630,FEK30_RS04295
unassigned_transcript_631,FEK30_RS04300
unassigned_transcript_632,FEK30_RS04305
unassigned_transcript_633,FEK30_RS04310
unassigned_transcript_634,FEK30_RS04315
unassigned_transcript_635,FEK30_RS04320
unassigned_transcript_636,FEK30_RS04325
unassigned_transcript_637,FEK30_RS04330
unassigned_transcript_638,FEK30_RS04335
unassigned_transcript_639,FEK30_RS04340
unassigned_transcript_640,FEK30_RS04345
unassigned_transcript_641,FEK30_RS04350
unassigned_transcript_642,FEK30_RS04355
unassigned_transcript_643,FEK30_RS04360
unassigned_transcript_644,FEK30_RS04365
unassigned_transcript_645,FEK30_RS04370
unassigned_transcript_646,FEK30_RS04375
unassigned_transcript_647,FEK30_RS04380
unassigned_transcript_648,FEK30_RS04385
unassigned_transcript_649,FEK30_RS04390
unassigned_transcript_650,FEK30_RS04395
unassigned_transcript_651,FEK30_RS04400
unassigned_transcript_652,FEK30_RS04405
unassigned_transcript_653,FEK30_RS04410
unassigned_transcript_654,FEK30_RS04415
unassigned_transcript_655,FEK30_RS04420
unassigned_transcript_656,FEK30_RS04425
unassigned_transcript_657,FEK30_RS04430
unassigned_transcript_658,FEK30_RS04435
unassigned_transcript_659,FEK30_RS04440
unassigned_transcript_660,FEK30_RS04445
unassigned_transcript_661,FEK30_RS04450
unassigned_transcript_662,FEK30_RS04455
unassigned_transcript_663,FEK30_RS04460
unassigned_transcript_664,FEK30_RS04465
