"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FEK30_RS10025",426.945650888684,-1.5471936309303,0.133864385220832,-11.5579183244142,6.73209978401322e-31,1.67197402799051e-30
"FEK30_RS10030",188.377643684126,0.899035789119583,0.148747654540757,6.04403337918346,1.50308393674823e-09,2.38634823537057e-09
"FEK30_RS10035",354.299168203047,0.939962755217,0.114976710995405,8.17524476982618,2.95265838555409e-16,5.54663813501066e-16
"FEK30_RS10040",1437.74391320747,1.42468703921363,0.143638346926719,9.91857028221352,3.45671988235048e-23,7.46555474590972e-23
"FEK30_RS10045",104.7825555417,1.84948224780899,0.190823793399112,9.69209454892638,3.25777929297888e-22,6.93423896657634e-22
"FEK30_RS10050",770.089685311767,0.227007732158945,0.0812636619301467,2.79347160547698,0.00521456067699118,0.00628265950422161
"FEK30_RS10055",512.180900655966,1.01127429537986,0.0906491176631207,11.1559198969599,6.69962777836109e-29,1.62497904260249e-28
"FEK30_RS10060",1404.57791719234,0.716627220666011,0.0940745744079345,7.61765041379309,2.58334798967224e-14,4.62031375277482e-14
"FEK30_RS10065",3383.65144742116,0.877762890852239,0.0789973357548786,11.1112973933179,1.10541638328812e-28,2.67190022178191e-28
"FEK30_RS10070",1234.19857932106,1.09742147091616,0.114444657056266,9.5891018344056,8.88551161146275e-22,1.86856100679822e-21
"FEK30_RS10075",286.801589147031,-0.276339825887191,0.136304807716128,-2.02736668293245,0.0426249265810267,0.0484397764922021
"FEK30_RS10080",11379.8646697507,-0.419958715311299,0.0721972128561856,-5.81682725270632,5.99750649465604e-09,9.35210065656951e-09
"FEK30_RS10085",7103.26571706948,-0.295105306009393,0.0766765546536738,-3.84870326193319,0.000118744744320668,0.000156040628804483
"FEK30_RS10090",158.150027659269,-1.29120805201783,0.210146571277146,-6.14432129047187,8.0306146479582e-10,1.28811979367536e-09
"FEK30_RS10095",271.843579223771,-0.207076862418556,0.148762278482512,-1.39199845909123,0.163922864570564,0.178807520628609
"FEK30_RS10100",799.338230524784,0.738308598550109,0.108103771451327,6.82962850081996,8.51348082297195e-12,1.4354959532228e-11
"FEK30_RS10105",2087.20279475192,-1.29093754439816,0.0773184845678708,-16.6963637688083,1.39299529244603e-62,5.33378088037815e-62
"FEK30_RS10110",670.706779423583,2.87521453660697,0.148552492479822,19.3548723997177,1.85453227077381e-83,8.90366350925541e-83
"FEK30_RS10120",383.67640448318,-0.721587377440157,0.130410284247748,-5.53320914529498,3.14424176949585e-08,4.78040886084676e-08
"FEK30_RS10125",450.050313149041,-0.617470078255045,0.125829213231829,-4.9072076538968,9.23822087817894e-07,1.3260400122063e-06
"FEK30_RS10130",12594.4260495163,1.67507577949233,0.282700787209268,5.92526039997321,3.11802901260786e-09,4.90301303724124e-09
"FEK30_RS10135",14611.0000057993,-2.81066991950951,0.0673758008606986,-41.7163118449702,0,0
"FEK30_RS10140",1164.04560108181,1.88431788314134,0.100569270662948,18.7365173349672,2.49428478122441e-78,1.124235604291e-77
"FEK30_RS10145",928.844166036992,2.54896986365457,0.131770398016143,19.3440249254032,2.2889262473806e-83,1.09703845315382e-82
"FEK30_RS10150",334.050850958272,-2.30596411940439,0.173412200491925,-13.297588709808,2.3905403544677e-40,6.71799442987459e-40
"FEK30_RS10155",2337.5403711872,0.887563564030653,0.0924651147352668,9.59890188393537,8.08006525593286e-22,1.70430313876082e-21
"FEK30_RS10165",1575.12168728538,1.06655713256108,0.0674325010860398,15.8166628166471,2.38820104653573e-56,8.39770694629837e-56
"FEK30_RS10170",3803.69343598838,1.50897903513563,0.0652054902680331,23.1419015321077,1.75407711100432e-118,1.16067655643052e-117
"FEK30_RS10175",193.645898030824,0.953034658163467,0.163231992969432,5.83852859250415,5.26638459330457e-09,8.23037994230011e-09
"FEK30_RS10180",7451.20964735644,1.70890897118637,0.101028723698498,16.9150802724807,3.48341705904715e-64,1.36174362406047e-63
"FEK30_RS10185",26078.130846696,2.7454847837015,0.080974520454807,33.9055392768123,5.52017111864255e-252,9.59686891992578e-251
"FEK30_RS10190",2261.47244635003,0.0512078931137191,0.0908046484769481,0.563934710090518,0.572798566658435,0.592703581544163
"FEK30_RS10195",493.718977415391,0.176072561529112,0.0920971885242786,1.91181255747776,0.0559002405202892,0.0628377580867051
