"","U1","U2","U3","U7","U8","U9","U10","U11","U12","U13","U14","U15","U16","U17","U18","U19","U20","U21","U34","U35","U36","U37","U38","U39"
"FEK30_RS10910",8175.64839157192,8868.75758290145,9226.2571194414,7443.48678429772,7058.07221513087,6705.28446572315,6558.88613853425,6157.68286019,6049.16351315863,3868.91937843898,3580.51257604246,3752.67441923417,3920.15451858474,3764.91132550967,3935.43357334757,5447.15998280791,5306.94653936341,4973.79001815108,2759.52684021611,2843.4791744042,2860.39665605984,7712.20226750322,7694.16075317609,7465.34672760946
"FEK30_RS10915",2807.85377830833,2638.08137177301,2594.66541667517,3355.36360253313,2979.17915202294,3022.84097519324,3893.94188673723,2951.59595770047,2605.81702625959,2426.5848893229,2048.74249003499,2152.38874707821,1123.84015106157,970.826190854695,879.453944605761,4681.19525177105,4324.98548092736,4462.07575871343,706.218750965152,660.436463649625,755.262039458354,2392.10148417763,1936.56951577266,2036.08268732518
"FEK30_RS10920",966.997447553992,1089.36746741745,1077.18231832591,731.847051735536,743.220169003608,601.937878259698,564.983416888839,637.474866603948,813.076045730265,512.71797107273,454.744244283468,589.150908100332,786.219187738487,685.103360700712,700.942808736062,426.135308112056,436.520231608515,467.256814912041,1765.54687741288,1912.26376065823,2279.78479695284,967.360351632063,991.143227147104,928.495435552219
"FEK30_RS10925",738.260090979605,771.196311556648,873.58081867958,728.196941751818,605.913392018195,532.133317587565,827.795927666344,699.850098169892,658.713864116061,624.507299191866,663.447918501986,672.282631329213,1001.92146986157,830.332644535885,843.424174063253,608.636294497599,481.764171161029,551.635230032079,519.345932122101,555.367026250821,571.279406721809,682.259664862645,634.55110667905,663.335222215677
"FEK30_RS10930",82.1810861943902,88.4979373917465,94.2785269298284,111.328354503411,103.295006539484,119.375915352343,110.457432065908,107.285398293424,128.3804282732,140.36705109696,116.79746905807,148.191332712353,40.6395604000013,41.0430584751578,27.8411863283015,173.510790011871,131.542564995272,171.478714598788,18.9165736865666,21.6142842648968,22.6645272211686,94.5253613887911,60.3463588484399,79.1133751266404
"FEK30_RS10935",1129.98993517287,1074.61781118549,1048.09638980501,1170.77277727767,1089.63634947139,1144.18779884322,1065.21592532525,936.87597812048,880.322936730513,1333.0667247891,1171.80411579571,1304.80661241853,650.232966400021,543.031235209781,492.952769695221,1378.19710408393,1367.37239536487,1317.39202961608,384.636998293521,396.261878189775,365.298850505894,936.868299571163,835.70563617385,827.647616709469
"FEK30_RS10940",1088.89939207567,1253.72077971641,1296.83122681136,1052.14420280682,966.18621970469,875.086159150653,648.778710180217,541.417009992394,574.655250365751,700.994734220749,680.68033196957,702.101619009138,1255.13719235389,1130.26268723896,1123.47375418911,839.684341300971,782.552584112002,808.399654537143,977.356307139274,896.392400208082,941.911087162095,1340.88798937809,1216.07056467311,1144.10111721603
"FEK30_RS10945",5906.08072783684,5842.97096160269,5985.68349699166,4305.30472579584,3902.53573486979,3678.39684933153,4028.52220626581,3263.47211553019,2948.16483498812,2735.05619323059,2498.69995279969,2768.64782579665,3627.86229570781,3119.27244411199,3345.85550992471,3719.24423978813,3465.35062942959,3215.45272242383,945.828684328329,976.845569416309,1169.22296311558,5232.4361336505,4773.76272041977,4425.1327406
"FEK30_RS10950",908.101002448012,861.801342695817,916.708229934715,1080.43255518064,1118.60933911051,1198.81745502142,714.799244288576,653.692426811094,680.110602161594,1038.88428237032,1009.05354415742,939.749914761266,1087.88977070773,1087.64104959168,1220.09904791674,1201.09023552259,1216.55926352316,1180.3905168943,1434.22022314514,1455.36180716972,1581.18407554741,960.499639918361,909.767076578754,756.358641320628
"FEK30_RS10955",30423.4381091633,30342.1499628845,32165.0250919106,66803.400394518,72931.3133976828,78440.0929894856,91448.5967453242,100379.212654442,101828.604697125,66167.5149488319,77040.3764757457,73018.5683769503,58147.395632325,65354.7563050004,65035.3735460696,74643.8024513244,73794.5411116153,82647.2966678983,25104.0129705908,23138.0913055721,22871.1743811263,24205.3532272442,25593.2565231315,27277.5962414667
"FEK30_RS10960",2768.13291998104,2843.52301214671,2946.70544808336,3324.33766767152,3297.8820380533,3489.21637330706,2310.71869379255,2241.76582248003,2430.05810659985,3324.26159933221,3366.06476400142,3469.84583911852,6161.58258064635,5515.55562739236,5388.08841294777,3266.13834255506,3229.07672287758,3162.82962482209,3813.69590111295,4235.19892234951,4504.24148333636,2912.75327311751,2821.64944554978,2748.97244121359
"FEK30_RS10965",1877.83781954182,1867.93860709008,1632.82384938043,1509.32047826755,1913.47701138386,1787.60374938636,1490.54052006179,1630.48855313378,1846.23282564316,2280.33418937757,2539.86627386114,2453.28944093927,3391.84023338473,4374.24288594855,4744.46569371115,1525.63632461215,1588.56498873272,1589.58046548718,5657.77522080037,6516.10630908126,7496.62568027242,1914.90086942454,2132.23801264488,2160.40370538133
"FEK30_RS10970",3828.26893188868,4119.36827621106,4196.39741142981,4161.12538143896,4408.9332059536,4414.88554743752,4152.94552054695,4794.16029815846,4982.38328774561,3366.28766253489,3215.75982431193,3331.59416896614,2868.21512823086,3073.49364812047,3801.14079223458,3287.71481385188,3510.59456898211,3762.55147852473,9618.79110486628,10036.8330571189,10702.3230745842,4543.31575707415,4824.9656915639,4738.10873011198
"FEK30_RS10975",22099.8637624414,22703.9351284778,22924.726489735,37628.0712946569,39384.3704811827,39038.9593011151,33819.0185970067,35397.9439136732,36187.9973887241,30982.4543142818,32036.0139925425,29892.1797405937,44036.0898134322,44665.8976751766,43640.2407111912,32023.0794830199,33467.9475078736,33951.8781957737,8573.22048655424,8996.9458252633,9052.47881363146,24262.5258248584,25611.5432985402,27218.4785545589
"FEK30_RS10980",58.8964451059797,64.2663592963873,65.1925984089239,58.4017597394942,36.5311608493299,52.6063355789988,30.4710157423194,34.9301296769287,22.9250764773571,59.6770097478095,47.8678151877334,48.7947071126042,26.5720202615393,33.1501626145506,52.4069389709206,67.4264728025405,62.0009542015933,47.1793288843226,141.014458390769,139.892450936693,180.64961402755,72.4186236446383,59.432020078009,55.6401759132416
"FEK30_RS10985",57.5267603360732,58.998624927831,74.2192658809288,49.2764847801982,55.4265888748453,39.4547516842491,52.054651893129,67.3652500912196,44.3218145228904,63.8796160680778,76.5885043003735,73.1920606689063,101.598901000003,75.7718002618298,52.4069389709206,35.0617658573211,44.4060888200601,53.5303923879814,181.140523786516,188.524590532711,193.981688863531,60.9841041218007,43.8882609806836,69.550219891552
"FEK30_RS10990",1171.08047827006,1155.74092046126,1163.43714083618,1254.72530690319,1274.81154412144,1394.06789284347,1281.05228683334,1383.48263613264,1444.2798180735,1632.2922947922,1616.97479704164,1462.03400200358,2316.45494280008,2557.29825883676,2716.97224227366,1443.82553761173,1290.2901279791,1450.76436319292,2122.66885943503,1865.43281141762,1486.52634421194,1327.92886725221,1539.74648940565,1492.72159442243
"FEK30_RS10995",2402.42708641601,2104.98665367511,2353.95428408838,5696.90915708847,5984.81190328159,5858.52479496119,5780.60561144918,6074.10004989163,5751.13751895298,4065.60135422753,3872.50624868764,2592.44471677891,201.634741984622,396.223372202485,322.63021803973,6098.94921989913,7559.92715893212,6938.08323035413,4014.89945759734,4401.50883183219,4070.94905116696,1521.55339783893,1808.56208791234,2123.02046218963
"FEK30_RS11000",216.410193645228,243.369327827303,267.791135002811,187.068136665567,212.888489087474,188.16881572488,162.512083959037,142.215527970352,172.70224279609,216.854486125843,203.916892699744,215.961759257637,321.990363169241,285.722830153983,248.932960111873,202.279418407622,223.706145565208,210.492390406978,490.111227333771,543.359090548101,627.274121032931,239.362608678068,200.240190724369,204.303770931434
"FEK30_RS11005",8461.91250848238,8892.98916099681,9767.85716776169,13853.9924432031,10029.6931959436,8501.99315780588,11514.2350736289,9577.09305463505,9348.84618746622,10399.7696001359,9840.66544629424,9828.51906044066,31936.4422343395,29860.4036198494,29495.2803395712,10436.7189701959,8982.59770263895,9251.68493525841,3872.16531068961,3425.86405598615,3214.36324295515,7716.77607531235,8032.46609823553,9621.40354424758
"FEK30_RS11010",1524.45914890594,1350.64709209785,1366.03567743007,1772.12839709528,1776.17023439845,1532.66535388814,1485.46201743807,1518.21313631508,1419.82640316432,1159.07882312999,1167.9746905807,1309.32464085488,1655.28055629236,1490.17873848265,1475.58287539998,1344.93337750134,1373.23735049205,1433.52576225442,2573.22725087871,2926.93432753811,3205.03079056996,1616.84106052924,1612.89359104012,1513.5866603899
"FEK30_RS11015",3235.19542651916,3163.80126175494,3000.86545291539,3791.55174558747,3582.57315363773,3599.48734596303,4001.86006749128,3983.28228780119,3988.96330706014,3267.94667464061,3316.28223620617,3321.65450640617,3676.31715618473,3813.84727984543,3679.94974586433,3436.05305401746,3598.56889588977,3841.48612492734,2678.12825041331,2745.0141016419,3151.70249122603,3386.14238136298,3315.39238158247,3563.5793916934
"FEK30_RS11020",3954.27993072008,3906.55180772138,3485.29660724632,6244.42565464623,5974.73434166798,6282.41046049197,7649.4945769781,7196.85421807862,7609.59705205073,4386.68047709603,4634.56186647635,5121.6370354489,4385.94640316937,4615.76549928313,4839.45327059594,6074.67568969022,6167.41924159363,6998.87198103201,1349.38225630842,1465.56855251703,1813.16217769349,3947.19613928355,3790.84854220655,4134.76057255277
"FEK30_RS11025",5948.54095570395,5552.19202445838,5325.73380848286,8857.90440298859,8610.01670362654,9565.24813268142,11064.7875914297,10974.2982417122,11329.5727951099,6756.10992046328,7496.09985839906,8139.68003093219,6330.3930623079,6882.60519044954,6645.85494824986,9456.78756546565,9347.90062198887,10878.4644869813,1784.46345109945,1980.70899416374,2235.7889499941,5974.1553000319,6017.26344820581,6275.16858971528
"FEK30_RS11030",4678.84317400062,4394.3440102497,4134.21370217822,6815.66786709815,6040.23849215644,7143.33337544828,8463.32462242921,8191.11540923977,8275.95260832591,5512.97897092793,5852.31908485229,6296.32442890048,4601.64868529246,5280.34733074627,4999.94952119439,7403.42671371895,7617.73885947144,8528.57099062754,1239.89542072859,1282.44753305055,1391.86861287647,4746.85020458066,4670.44243936108,4724.19868613367
"FEK30_RS11035",94.5082491235488,117.997249855662,131.388159870293,27.3758248778879,35.2714656476288,24.2798471903071,20.3140104948796,14.9700555758266,21.3967380455333,39.5044994105218,63.1855160478082,25.3009592435725,62.5224006153866,56.8288501963724,73.697257927857,23.3745105715474,20.1084175788951,23.5896644421613,2557.17682472041,2029.94153054489,1703.17256029664,157.796369415159,125.264411549034,100.84781884275
"FEK30_RS11040",112.314151132333,160.139124804113,195.577795226772,60.2268147313534,76.8414073037628,59.6879576761717,54.5939032049889,42.415157464842,53.4918451138332,76.4874350288826,90.9488488566935,72.2884549816358,120.355621184619,96.2933294994088,134.292781112984,63.8303942530717,60.3252527366854,61.6960454641141,4603.60615990352,3743.4739553231,3221.69588411494,250.797128200905,216.698288592125,222.560703652966
"FEK30_RS11045",782.090003616614,753.286014703556,718.121545550608,541.128805086251,579.459792782474,463.340417215028,341.529301445163,481.536787689088,524.220082115566,423.622717083042,449.957462764694,486.139859751501,628.350126184636,484.623805841287,632.158701336729,423.438249199954,414.736112564712,390.136758081898,956.720044935746,1218.80547382613,1531.85539865428,666.251337530672,668.381641184994,625.951979023968
"FEK30_RS11050",1172.45016303997,1152.58027984013,1222.61196093043,980.967058124316,985.081647730205,887.226082745807,870.963199967963,1009.23124673697,1040.79847207201,906.922443913894,848.217685126637,763.546805743528,1114.46179096927,1261.28475852504,1264.31740267346,842.381400213073,839.526433918872,871.910289573731,1179.70632263497,1256.6304712897,1401.20106526166,1228.82969805428,1122.80801008916,1179.74560491045
